
T-1326	vitamin a	vitamin a	juice	juice	), mangosteen	
T-1326	cod liver oil	cod liver oil	arachidonic acid	arachidonic acid	), meat due to	
T-1326	cod	cod	meat	meat	liver oil),	
T-1326	soy	soy	tamoxifen	tamoxifen	(even for women on	
T-1326	cod	cod	arachidonic acid	arachidonic acid	liver oil), meat due to	
T-1326	tea	tea	cold	cold	made with	
T-1326	fertility	fertility	vegetables	vegetables	), coffee, tea made with cold water, cooking	
T-1326	tea	tea	water	water	made with cold	
T-1326	alkaline water	alkaline water	water	water	(but not alkaline	
T-1326	industrial pollutants	industrial pollutants	cod liver oil	cod liver oil	– this includes distilled	
T-1326	tea	tea	cooking	cooking	made with cold water,	
T-1326	fructose	fructose	yerba mate	yerba mate	corn syrup, kimchi, kombucha tea, noni juice, and	
T-1326	vitamin c	vitamin c	supplements	supplements		
T-1326	pollutants	pollutants	meat	meat	– this includes distilled cod liver oil),	
T-1326	industrial pollutants	industrial pollutants	cod	cod	– this includes distilled	
T-1326	raw	raw	vegans	vegans	food diet, b12 deficiency present in non-supplementing	
T-1326	raw food	raw food	b12	b12	diet,	
T-1326	ayurvedic medicine	ayurvedic medicine	spirulina	spirulina	(see here, here), blue-green algae supplements, iron pills,	
T-1326	plant-based	plant-based	soy	soy	diets, protein (which is not bad for bones),	
T-1326	corn	corn	kimchi	kimchi	syrup,	
T-1326	rice	rice	supplements	supplements		
T-1326	raw	raw	diet	diet	food	
T-1326	raw	raw	b12	b12	food diet,	
T-1326	yeast	yeast	rice	rice		
T-1326	mangosteen	mangosteen	juice	juice		
T-1326	toxins	toxins	vitamin e	vitamin e	), multivitamin supplements,	
T-1326	corn	corn	juice	juice	syrup, kimchi, kombucha tea, noni	
T-1326	blue-green algae	blue-green algae	pills	pills	supplements, iron	
T-1326	fertility	fertility	water	water	), coffee, tea made with cold	
T-1326	iron	iron	supplements	supplements	pills, spirulina	
T-1326	meat	meat	arachidonic acid	arachidonic acid	due to	
T-1326	medicine	medicine	blue-green algae	blue-green algae	(see here, here),	
T-1326	blue-green algae	blue-green algae	iron	iron	supplements,	
T-1326	alfalfa	alfalfa	juice	juice	sprouts, non-organic apple	
T-1326	medicine	medicine	iron	iron	(see here, here), blue-green algae supplements,	
T-1326	industrial pollutants	industrial pollutants	liver	liver	– this includes distilled cod	
T-1326	insects	insects	ayurvedic medicine	ayurvedic medicine	), aspartame, some types of	
T-1326	fertility	fertility	cold	cold	), coffee, tea made with	
T-1326	ayurvedic medicine	ayurvedic medicine	algae	algae	(see here, here), blue-green	
T-1326	fruits	fruits	vegetables	vegetables	and	
T-1326	plant-based	plant-based	protein	protein	diets,	
T-1326	tea	tea	vegetables	vegetables	made with cold water, cooking	
T-1326	spirulina	spirulina	neurotoxins	neurotoxins	supplements (for their	
T-1326	blue-green algae	blue-green algae	neurotoxins	neurotoxins	supplements, iron pills, spirulina supplements (for their	
T-1326	pomegranate	pomegranate	juice	juice		
