
A-12	blood	blood	cholesterol	cholesterol		
A-12	whole grains	whole grains	disease	disease	could help prevent and treat fatty liver	
A-12	grains	grains	liver	liver	could help prevent and treat fatty	
A-12	blood	blood	sugar	sugar	cholesterol and blood	
A-12	rice	rice	china	china	is linked to diabetes, what about	
A-12	oatmeal	oatmeal	breakfast	breakfast	for	
A-12	lead	lead	cancer	cancer	in rare cases to cirrhosis of the liver,	
A-12	cholesterol	cholesterol	sugar	sugar	and blood	
A-12	whole grain	whole grain	brown rice	brown rice	consumers—those who eat whole wheat,	
A-12	cholesterol	cholesterol	immune system	immune system	and blood sugar, boosting our	
A-12	whole grain	whole grain	wheat	wheat	consumers—those who eat whole	
A-12	exercise	exercise	diet	diet	and	
A-12	whole grains	whole grains	liver	liver	could help prevent and treat fatty	
A-12	risk	risk	cardiovascular disease	cardiovascular disease	of type 2 diabetes,	
A-12	risk	risk	disease	disease	of type 2 diabetes, cardiovascular	
A-12	grains	grains	fatty liver disease	fatty liver disease	could help prevent and treat	
A-12	blood	blood	blood sugar	blood sugar	cholesterol and	
A-12	whole grains	whole grains	drugs	drugs	may work as well as	
A-12	high blood pressure	high blood pressure	diabetes	diabetes	and diseases like	
A-12	weight gain	weight gain	whole grains	whole grains	for those who consumed a few servings of	
A-12	cholesterol	cholesterol	blood	blood	and	
A-12	fiber	fiber	froot loops	froot loops	than those that instead reach for	
A-12	whole grain	whole grain	oatmeal	oatmeal	consumers—those who eat whole wheat, brown rice, and	
A-12	oatmeal	oatmeal	fatty liver disease	fatty liver disease	help	
A-12	heart disease	heart disease	whole grain	whole grain	show	
A-12	whole grains	whole grains	fatty liver disease	fatty liver disease	could help prevent and treat	
A-12	fiber	fiber	stomach	stomach	of oatmeal forms a gel in the	
A-12	whole grains	whole grains	hypertension	hypertension	may work as well as drugs for	
A-12	liver	liver	disease	disease		
A-12	grains	grains	variety	variety	to be protective via a	
A-12	placebo	placebo	oatmeal	oatmeal		
A-12	oatmeal	oatmeal	stomach	stomach	forms a gel in the	
A-12	whole grains	whole grains	liver disease	liver disease	could help prevent and treat fatty	
A-12	cholesterol	cholesterol	antioxidant	antioxidant	and blood sugar, boosting our immune system, anticancer,	
A-12	diabetes	diabetes	disease	disease	and heart	
A-12	drugs	drugs	refined grain	refined grain	for hypertension, but	
A-12	diabetes	diabetes	whole grain	whole grain	and heart disease show	
A-12	whole grain	whole grain	whole wheat	whole wheat	consumers—those who eat	
A-12	grains	grains	body mass index	body mass index	is associated with lower	
A-12	oatmeal	oatmeal	disease	disease	consumers have lower rates of	
A-12	heart disease	heart disease	risk	risk	show whole grain intake is associated with lower	
A-12	oatmeal	oatmeal	disease	disease	help fatty liver	
A-12	cancer	cancer	liver	liver	of the	
A-12	risk	risk	weight gain	weight gain	of type 2 diabetes, cardiovascular disease, and	
A-12	refined grain	refined grain	high blood pressure	high blood pressure	intake may linked with	
A-12	disease	disease	risk	risk	show whole grain intake is associated with lower	
A-12	cholesterol	cholesterol	blood sugar	blood sugar	and	
A-12	rice	rice	diabetes	diabetes	is linked to	
A-12	skin	skin	chemotherapy	chemotherapy	(see my video oatmeal lotion for	
A-12	risk	risk	diabetes	diabetes	of type 2	
A-12	blood	blood	diabetes	diabetes	pressure and diseases like	
A-12	cancer	cancer	death	death	of the liver, and	
A-12	refined grain	refined grain	blood pressure	blood pressure	intake may linked with high	
A-12	skin	skin	oatmeal	oatmeal	(see my video 	
A-12	obesity	obesity	weight gain	weight gain	—consistently less	
A-12	lead	lead	liver	liver	in rare cases to cirrhosis of the	
A-12	diabetes	diabetes	heart disease	heart disease	and	
A-12	whole grains	whole grains	body mass index	body mass index	is associated with lower	
A-12	lead	lead	cirrhosis	cirrhosis	in rare cases to	
A-12	grains	grains	liver disease	liver disease	could help prevent and treat fatty	
A-12	whole grains	whole grains	variety	variety	to be protective via a	
A-12	grains	grains	hypertension	hypertension	may work as well as drugs for	
A-12	fiber	fiber	oatmeal	oatmeal	of	
A-12	grains	grains	drugs	drugs	may work as well as	
A-12	cirrhosis	cirrhosis	death	death	of the liver, cancer of the liver, and	
A-12	oatmeal	oatmeal	chemotherapy	chemotherapy	lotion for	
A-12	blood	blood	immune system	immune system	cholesterol and blood sugar, boosting our	
A-12	refined grain	refined grain	blood	blood	intake may linked with high	
A-12	oatmeal	oatmeal	liver disease	liver disease	help fatty	
A-12	disease	disease	whole grain	whole grain	show	
A-12	oatmeal	oatmeal	liver	liver	help fatty	
A-12	skin	skin	rash	rash	(see my video oatmeal lotion for chemotherapy-induced	
A-12	cirrhosis	cirrhosis	cancer	cancer	of the liver,	
A-12	drugs	drugs	hypertension	hypertension	for	
A-12	blood pressure	blood pressure	diabetes	diabetes	and diseases like	
A-12	whole grain	whole grain	rice	rice	consumers—those who eat whole wheat, brown	
A-12	whole grain	whole grain	risk	risk	intake is associated with lower	
A-12	body mass index	body mass index	weight gain	weight gain	and body	
A-12	chemotherapy	chemotherapy	oatmeal	oatmeal	just applied to the skin (see my video 	
A-12	cirrhosis	cirrhosis	liver	liver	of the	
A-12	grains	grains	disease	disease	could help prevent and treat fatty liver	
A-12	chemotherapy	chemotherapy	skin	skin	just applied to the	
