
V-1012	diet	diet	baby	baby	kill the	
V-1012	vitamin deficiency	vitamin deficiency	breast milk	breast milk	after being fed solely on	
V-1012	baby	baby	b12	b12	’s not getting enough	
V-1012	vegan	vegan	baby	baby	diet kill the	
V-1012	vegan	vegan	baby	baby	couple whose	
V-1012	baby	baby	vitamin deficiency	vitamin deficiency	died of	
V-1012	vegans	vegans	death	death	charged in 	
V-1012	death	death	baby	baby	…over death…after death…neglect…neglect and death…and	
V-1012	vegan	vegan	diet	diet		
V-1012	vegans	vegans	baby	baby	charged in death…over death…after death…neglect…neglect and death…and	
V-1012	vegans	vegans	b12	b12	don’t get their act together and get their	
V-1012	vegan	vegan	vitamin deficiency	vitamin deficiency	couple whose baby died of	
V-1012	vitamin deficiency	vitamin deficiency	milk	milk	after being fed solely on breast	
